"date","event","direction","shares","price","reason","trade_pnl","cash_after"
"2015-07-14","LONG_ENTRY","LONG",347,27.351668343544,"trend_long",NA,503.97108479023
"2015-08-11","LONG_EXIT","LONG",347,33.4432690849304,"MACD trend reversal",2103.78545726109,12103.7854572611
"2015-08-12","LONG_ENTRY","LONG",263,33.1705763282776,"trend_long",NA,3374.92388292408
"2015-08-19","LONG_EXIT","LONG",263,32.8135868301392,"MACD trend reversal",-103.888238010404,11999.8972192507
"2015-09-18","LONG_ENTRY","LONG",235,31.8554201774597,"trend_long",NA,4508.87347754765
"2015-09-21","LONG_EXIT","LONG",235,31.7041393136978,"MACD trend reversal",-45.5510029840467,11954.3462162666
"2015-09-22","LONG_ENTRY","LONG",238,31.3656753816605,"trend_long",NA,4484.31547543145
"2015-09-23","LONG_EXIT","LONG",238,31.0869496650696,"MACD trend reversal",-76.3367205486287,11878.009495718
"2015-10-07","LONG_ENTRY","LONG",235,32.4782328014374,"trend_long",NA,4240.62478738022
"2015-11-06","LONG_EXIT","LONG",235,36.556713262558,"Maximum holding period",948.442908363342,12826.4524040813
"2015-11-23","LONG_ENTRY","LONG",285,37.8914376239777,"trend_long",NA,2022.39268124772
"2015-11-27","LONG_EXIT","LONG",285,37.4042888355255,"MACD trend reversal",-148.837404708862,12677.6149993725
"2016-02-02","LONG_ENTRY","LONG",212,39.2446109733581,"trend_long",NA,4352.75747302056
"2016-02-04","LONG_EXIT","LONG",212,36.1224288654327,"ATR trailing stop",-671.902606880187,12005.7123924923
"2016-02-26","LONG_ENTRY","LONG",194,35.4467153549194,"trend_long",NA,5124.04961363793
"2016-03-30","LONG_EXIT","LONG",194,37.4862485675812,"Maximum holding period",385.669443256378,12391.3818357487
"2016-09-26","LONG_ENTRY","LONG",300,39.1565695381165,"trend_long",NA,639.410974313745
"2016-09-27","LONG_EXIT","LONG",300,38.755614025116,"MACD trend reversal",-130.286653900145,12261.0951818485
"2016-09-28","LONG_ENTRY","LONG",299,38.9119480819702,"trend_long",NA,621.422705339441
"2016-09-30","LONG_EXIT","LONG",299,38.7970933666229,"MACD trend reversal",-44.3415598888403,12216.7536219597
"2016-10-19","LONG_ENTRY","LONG",290,39.9319547481537,"trend_long",NA,631.486744995125
"2016-11-01","LONG_EXIT","LONG",290,39.1249284820557,"MACD trend reversal",-244.037617168426,11972.7160047913
"2016-12-09","LONG_ENTRY","LONG",273,39.0195,"trend_long",NA,1315.39250479127
"2017-01-03","LONG_EXIT","LONG",273,38.9210281028748,"MACD trend reversal",-36.8828279151914,11935.8331768761
"2017-02-16","LONG_ENTRY","LONG",276,41.0169963569641,"trend_long",NA,610.142182353982
"2017-03-21","LONG_EXIT","LONG",276,42.5487146949768,"Maximum holding period",412.754261291506,12348.5874381676
"2017-04-21","LONG_ENTRY","LONG",278,42.1650730075836,"trend_long",NA,621.697142059336
"2017-05-23","LONG_EXIT","LONG",278,47.372301908493,"Maximum holding period",1437.60963445282,13786.1970726204
"2017-07-18","LONG_ENTRY","LONG",274,47.6738265266418,"trend_long",NA,718.568604320535
"2017-07-28","LONG_EXIT","LONG",274,46.4467662200928,"MACD trend reversal",-346.214523994445,13439.982548626
"2017-08-31","LONG_ENTRY","LONG",274,46.6112952518463,"trend_long",NA,663.487649620069
"2017-09-19","LONG_EXIT","LONG",274,45.8480628833771,"MACD trend reversal",-219.12566896057,13220.8568796654
"2017-09-21","LONG_ENTRY","LONG",269,46.6733265266418,"trend_long",NA,660.732043998731
"2017-10-23","LONG_EXIT","LONG",269,49.4512637386322,"Maximum holding period",737.265110025408,13958.1219896908
"2017-10-30","LONG_ENTRY","LONG",261,50.7253507633209,"trend_long",NA,713.805440464035
"2017-11-16","LONG_EXIT","LONG",261,51.1004364509583,"MACD trend reversal",87.8973644733451,14046.0193541641
"2017-11-29","LONG_ENTRY","LONG",255,52.160065870285,"trend_long",NA,740.202557241457
"2017-11-30","LONG_EXIT","LONG",255,51.0929405059814,"ATR trailing stop",-282.116967897414,13763.9023862667
"2017-12-18","LONG_ENTRY","LONG",245,53.3306528549194,"trend_long",NA,692.892436811466
"2017-12-29","LONG_EXIT","LONG",245,52.3098305358887,"MACD trend reversal",-260.101468162535,13503.8009181042
"2018-01-04","LONG_ENTRY","LONG",235,54.4272015266418,"trend_long",NA,708.408559343357
"2018-02-05","LONG_EXIT","LONG",235,54.5027337799072,"MACD trend reversal",7.7500795173658,13511.5509976216
"2018-02-27","LONG_ENTRY","LONG",184,57.0905312747955,"trend_long",NA,3001.89324305918
"2018-03-01","LONG_EXIT","LONG",184,55.3658045310974,"ATR trailing stop",-327.349720840453,13184.2012767811
"2018-03-09","LONG_ENTRY","LONG",174,56.8283992366791,"trend_long",NA,3291.05980959895
"2018-03-20","LONG_EXIT","LONG",174,54.922525762558,"ATR trailing stop",-341.621984497069,12842.579292284
"2018-04-18","LONG_ENTRY","LONG",140,53.8984338569641,"trend_long",NA,5291.79855230906
"2018-04-25","LONG_EXIT","LONG",140,51.2503629760742,"ATR trailing stop",-380.729923324585,12461.8493689595
"2018-07-13","LONG_ENTRY","LONG",181,59.279625,"trend_long",NA,1727.23724395945
"2018-08-07","LONG_EXIT","LONG",181,61.819073474884,"MACD trend reversal",449.640173954011,12911.4895429135
"2018-08-09","LONG_ENTRY","LONG",181,62.5262464313507,"trend_long",NA,1589.23893883898
"2018-08-13","LONG_EXIT","LONG",181,61.8180745239258,"MACD trend reversal",-138.17911524391,12773.3104276696
"2018-10-01","LONG_ENTRY","LONG",196,60.0244964561462,"trend_long",NA,1003.50912226489
"2018-10-05","LONG_EXIT","LONG",196,58.3458125,"ATR trailing stop",-339.022055404663,12434.2883722649
"2019-03-04","LONG_ENTRY","LONG",173,57.3781734981537,"trend_long",NA,2502.8643570843
"2019-03-28","LONG_EXIT","LONG",173,58.5477111644745,"MACD trend reversal",192.3300162735,12626.6183885384
"2019-04-18","LONG_ENTRY","LONG",193,61.989979133606,"trend_long",NA,657.55241575244
"2019-05-01","LONG_EXIT","LONG",193,59.3727989025116,"ATR trailing stop",-515.115784601211,12111.5026039372
"2019-09-09","LONG_ENTRY","LONG",167,60.2301007633209,"trend_long",NA,2048.07577646259
"2019-10-01","LONG_EXIT","LONG",167,60.919525762558,"MACD trend reversal",105.13397487259,12216.6365788098
"2019-10-17","LONG_ENTRY","LONG",181,62.5777744102478,"trend_long",NA,885.059410554917
"2019-11-18","LONG_EXIT","LONG",181,66.5776945610046,"Maximum holding period",713.98554728699,12930.6221260968
"2019-12-10","LONG_ENTRY","LONG",183,67.1085344467163,"trend_long",NA,644.760322347674
"2019-12-24","LONG_EXIT","LONG",183,67.3912905502319,"MACD trend reversal",41.7443669433617,12972.3664930401
"2020-01-07","LONG_ENTRY","LONG",176,69.931951675415,"trend_long",NA,659.342998167072
"2020-01-31","LONG_EXIT","LONG",176,73.4082771949768,"MACD trend reversal",601.833291442871,13574.199784483
"2020-02-12","LONG_ENTRY","LONG",170,75.7618610229492,"trend_long",NA,689.683410581622
"2020-02-24","LONG_EXIT","LONG",170,71.2698434677124,"MACD trend reversal",-773.642984390258,12800.5568000927
"2020-07-08","LONG_ENTRY","LONG",108,74.7533614196777,"trend_long",NA,4722.19376676754
"2020-07-28","LONG_EXIT","LONG",108,76.2208731842041,"MACD trend reversal",148.491270568849,12949.0480706616
"2020-08-20","LONG_ENTRY","LONG",118,77.2110868606567,"trend_long",NA,3833.13982110409
"2020-09-09","LONG_EXIT","LONG",118,77.8375647392273,"ATR trailing stop",63.9243896713271,13012.9724603329
"2020-10-12","LONG_ENTRY","LONG",104,77.1885765266418,"trend_long",NA,4980.36050156216
"2020-11-11","LONG_EXIT","LONG",104,87.45625,"Maximum holding period",1057.83804122925,14070.8105015622
"2020-11-30","LONG_ENTRY","LONG",108,89.1037260704041,"trend_long",NA,4442.60808595852
"2020-12-01","LONG_EXIT","LONG",108,88.6741389808655,"MACD trend reversal",-56.3954056701658,14014.415095892
"2020-12-03","LONG_ENTRY","LONG",105,91.2461007385254,"trend_long",NA,4428.57451834683
"2020-12-09","LONG_EXIT","LONG",105,90.5552017631531,"MACD trend reversal",-82.5443924140922,13931.8707034779
"2021-01-21","LONG_ENTRY","LONG",103,94.9474515266418,"trend_long",NA,4147.28319623379
"2021-01-28","LONG_EXIT","LONG",103,92.1509000968933,"ATR trailing stop",-298.044797264099,13633.8259062138
"2021-04-06","LONG_ENTRY","LONG",84,111.1805625,"trend_long",NA,4289.6586562138
"2021-05-06","LONG_EXIT","LONG",84,117.473231681824,"Maximum holding period",518.584211273194,14152.410117487
"2021-06-01","LONG_ENTRY","LONG",99,121.160548473358,"trend_long",NA,2152.51581862454
"2021-06-04","LONG_EXIT","LONG",99,121.065436450958,"MACD trend reversal",-19.416090217589,14132.9940272694
"2021-06-07","LONG_ENTRY","LONG",101,122.627284893036,"trend_long",NA,1742.63825307278
"2021-06-24","LONG_EXIT","LONG",101,126.989970565796,"MACD trend reversal",430.631252948762,14563.6252802182
"2021-07-14","LONG_ENTRY","LONG",104,131.96745526886,"trend_long",NA,834.009932256746
"2021-07-20","LONG_EXIT","LONG",104,129.938995803833,"ATR trailing stop",-220.95978436279,14342.6654958554
"2021-07-26","LONG_ENTRY","LONG",98,138.319125,"trend_long",NA,782.391245855382
"2021-08-02","LONG_EXIT","LONG",98,135.416754821777,"ATR trailing stop",-294.432277465819,14048.2332183896
"2021-08-26","LONG_ENTRY","LONG",93,142.689809005737,"trend_long",NA,773.080980855993
"2021-09-10","LONG_EXIT","LONG",93,145.37077495575,"MACD trend reversal",239.329833351137,14287.5630517407
"2021-10-18","LONG_ENTRY","LONG",91,141.284107727051,"trend_long",NA,1425.70924857908
"2021-11-17","LONG_EXIT","LONG",91,149.154389404297,"Maximum holding period",706.195632629396,14993.7586843701
